0x40c1c9, 5120, 5120, 0
0x40c1d6, 5120, 5120, 0
0x40c481, 5120
0x40c1c5, 5120, 5100, 20
0x40c272, 5120, 5120, 0
0x40c41a, 5120, 1441, 3679
0x40c42f, 5120, 5120, 0
0x40c4db, 5120, 5120, 0
0x40c4e4, 5120, 20, 5100
0x40c623, 5120, 5100, 20
0x40c354, 5120
0x40c577, 5100
0x40c5fb, 5100, 1760, 3340
0x40c601, 5100, 5100, 0
0x40c562, 5100, 19, 5081
0x40c4fe, 5100
0x7b912511ba91, 5091, 0, 5091
0x7b91250938bd, 5091
0x7b912511ba80, 5091, 0, 5091
0x7b91250938b0, 5091, 0, 5091
0x7b912511ba8d, 5091
0x7b912511ba99, 5091, 0x7b91250927a5, 4171, 0x7b9125093e05, 920
0x7b9125093d9e, 5082, 4162, 920
0x7b9125093d7c, 5082, 4170, 912
0x7b9125093d91, 5082, 0, 5082
0x7b9125093d68, 5073, 4161, 912
0x7b9125028430, 4358, 0x7b9125188a40, 4358
0x7b9125188a40, 4358
0x7b9125188a87, 4358, 25, 4333
0x7b9125188b4d, 4266, 3868, 398
0x405cb8, 4251, 4247, 4
0x405ca1, 4250, 4250, 0
0x405c4a, 4250, 4189, 61
0x405aea, 4250, 4171, 79
0x405c64, 4250, 4250, 0
0x405ac7, 4250
0x405c62, 4250, 0x405d06, 4246, 0x405e34, 4
0x405c56, 4250
0x405c84, 4250, 4250, 0
0x405e8f, 4250, 0x407fc2, 4246, 0x40829f, 4
0x405cf4, 4247, 1, 4246
0x405d06, 4246, 0, 4246
0x407ff8, 4246, 4151, 95
0x405cfa, 4246
0x40808f, 4246, 76, 4170
0x405d1b, 4246
0x407fc2, 4246, 4246, 0
0x405d0f, 4246
0x4059ec, 4190, 0x405ba8, 4190
0x405b8c, 4190, 0, 4190
0x405b9c, 4190
0x40565c, 4190, 1, 4189
0x405ba8, 4190, 4189, 1
0x40567c, 4189
0x405bfc, 4189, 4170, 19
0x40567f, 4189, 0, 4189
0x7b9125092640, 4172, 1, 4171
0x7b912509264e, 4171, 0, 4171
0x4016a6, 4171, 4170, 1
0x7b9125094f9a, 4171, 0, 4171
0x7b912508f040, 4171, 10, 4161
0x7b912509275f, 4171, 0, 4171
0x7b9125092796, 4171, 0x7b91250938b0, 4171
0x7b9125092750, 4171
0x40168e, 4171
0x7b9125092678, 4171, 1, 4170
0x7b912508ef70, 4171, 4171, 0
0x7b9125094fa1, 4171, 4171, 0
0x7b912509266a, 4171, 0, 4171
0x7b9125094f50, 4171, 4171, 0
0x401180, 4171, 0x7b912508ef70, 4170, 0x401186, 1
0x7b9125094fb3, 4171, 0x7b912509275f, 4171
0x40178b, 4171, 1, 4170
0x7b91250927a5, 4171, 1, 4170
0x7b9125086425, 4170, 0, 4170
0x401110, 4170, 0x7b9125086400, 4169, 0x401116, 1
0x4059e2, 4170
0x407e7a, 4170, 0, 4170
0x4016b6, 4170
0x4017c4, 4170, 0, 4170
0x7b9125093e60, 4170
0x7b91250888b0, 4170
0x7b912508648d, 4170
0x407eb6, 4170, 4170, 0
0x407f03, 4170, 4170, 0
0x4080a1, 4170, 0, 4170
0x7b9125086520, 4170
0x7b91250864b6, 4170, 0, 4170
0x407e81, 4170, 4170, 0
0x7b9125093d4a, 4170, 0, 4170
0x7b91250864a3, 4170, 0, 4170
0x40177b, 4170
0x4080a8, 4170, 0, 4170
0x407ef4, 4170
0x4080db, 4170, 0x4017ef, 4170
0x407f36, 4170, 4170, 0
0x7b9125095fe0, 4170, 0, 4170
0x4017ef, 4170, 4170, 0
0x7b91250927aa, 4170, 4170, 0
0x4080b9, 4170
0x7b91250864be, 4170, 4169, 1
0x405c41, 4170
0x4017cc, 4170, 0, 4170
0x7b9125092683, 4170, 4170, 0
0x7b9125086400, 4170, 0, 4170
0x407f6b, 4170
0x407f8a, 4170
0x7b91250927c5, 4170, 0x7b9125093ec0, 4161, 0x7b91250955d2, 9
0x7b91250887dd, 4170, 4170, 0
0x401240, 4170, 0x7b91250887d0, 4169, 0x401246, 1
0x7b91250887d0, 4170, 0, 4170
0x7b9125095ffc, 4170, 4170, 0
0x4016c7, 4170, 0x40178b, 4170
0x7b912508649b, 4170, 0, 4170
0x7b9125096040, 4170
0x7b912509602b, 4170, 0x4016c7, 4170
0x7b9125095800, 4170, 0, 4170
0x407e2e, 4170, 0, 4170
0x7b9125095829, 4170, 0x7b9125093d20, 4170
0x40178f, 4170
0x405c2f, 4170, 0, 4170
0x407e65, 4170, 0, 4170
0x4017b2, 4170
0x7b9125086439, 4170, 0, 4170
0x7b912508645a, 4170, 4170, 0
0x7b9125093d20, 4170, 0, 4170
0x7b9125093d61, 4170, 0, 4170
0x4017d2, 4170
0x407e54, 4170, 0, 4170
0x7b9125093e6e, 4170, 4170, 0
0x7b91250864dd, 4169, 0x4017b2, 4169
0x7b91250864f0, 4169
0x7b91250950d2, 4162, 0, 4162
0x7b9125093eb8, 4162
0x7b9125095150, 4162, 4162, 0
0x7b912509512a, 4162, 0x7b9125092640, 4162
0x7b91250950f7, 4162, 4162, 0
0x7b91250950dd, 4162, 0, 4162
0x7b9125095140, 4162, 4162, 0
0x7b9125093ec0, 4162, 4161, 1
0x7b91250950ee, 4162, 0, 4162
0x7b91250950b0, 4162, 4162, 0
0x7b912509510a, 4162, 0, 4162
0x7b9125093eab, 4161
0x7b912508f04e, 4161, 0x4016a6, 4161
0x7b9125188a80, 4161, 24, 4137
0x7b91250286b0, 4161, 0x7b9125188a80, 4161
0x7b9125093ea0, 4161
0x7b9125093e38, 4161, 0x7b912508649b, 4161
0x7b9125188d89, 4120, 0x7b9125093e6e, 2021, 0x7b9125093eab, 2011, 0x7b9125093a40, 46, 0x7b91250956b0, 42
0x7b9125188d6d, 4120
0x7b9125188d5b, 4120, 0, 4120
0x7b9125188d4f, 4120, 0, 4120
0x7b9125188d64, 4120, 0, 4120
0x7b9125188d40, 4120, 0, 4120
0x7b9125188bd1, 3868, 265, 3603
