0x7b43b3bcb8f2, 22, 0x7b43b3bad3ff, 13, 0x7b43b3baed8a, 3, 0x7b43b3baf3c4, 2, 0x7b43b3baf39a, 2, 0x7b43b3bac3eb, 1, 0x7b43b3bb8f8c, 1
0x7b43b3bb8c3c, 21, 12, 9
0x7b43b3bc1270, 21, 0, 21
0x7b43b3bc34c8, 20, 11, 9
0x7b43b3baf0be, 19, 0x7b43b3bb9230, 4, 0x7b43b3baf72d, 3, 0x7b43b3bafa69, 1, 0x7b43b3ba7ba3, 1, 0x7b43b3bbfcee, 1, 0x7b43b3ba61a0, 1, 0x7b43b3baa47c, 1, 0x7b43b3bb728d, 1, 0x7b43b3bb721a, 1, 0x7b43b3ba5c37, 1
0x7b43b3baf070, 19, 1, 18
0x7b43b3bc3266, 18, 1, 17
0x7b43b3bc3277, 18, 13, 5
0x7b43b3baf094, 18, 2, 16
0x7b43b3baf0b3, 17, 0, 17
0x7b43b3bb3010, 16
0x7b43b3bb2ff2, 16
0x7b43b3bb2df8, 16, 16, 0
0x7b43b3baf808, 16, 14, 2
0x7b43b3bb2fd0, 16, 0, 16
0x7b43b3bb2fdd, 16, 0, 16
0x7b43b3bb2b81, 16, 0, 16
0x7b43b3bb2bf8, 16, 0, 16
0x4012da, 15, 5, 10
0x7b43b3baf3c4, 15, 12, 3
0x7b43b3baf3b9, 15
0x4011e2, 15, 0x40132d, 15
0x401319, 15, 0x4011f5, 10, 0x401208, 5
0x401314, 15, 0x4011e2, 15
0x7b43b3bb30d8, 15, 15, 0
0x7b43b3bbffe0, 14, 12, 2
0x7b43b3baacf1, 14, 1, 13
0x7b43b3bab685, 14, 12, 2
0x7b43b3bab67c, 13, 1, 12
0x7b43b3bc41a7, 13, 1, 12
0x7b43b3baacfc, 13, 9, 4
0x7b43b3bc41b0, 13, 11, 2
0x7b43b3bca52c, 13, 2, 11
0x7b43b3bc40f8, 12, 4, 8
0x7b43b3bc34cf, 12, 12, 0
0x7b43b3bb8c48, 12, 12, 0
0x7b43b3bc0020, 12, 3, 9
0x7b43b3baf3b0, 12, 9, 3
0x7b43b3baf39a, 12, 0, 12
0x7b43b3bb8c78, 12
0x7b43b3bab660, 12, 11, 1
0x7b43b3bca2d7, 12, 1, 11
0x7b43b3bbb090, 12, 1, 11
0x7b43b3baf380, 12
0x7b43b3baf39e, 12, 12, 0
0x7b43b3bb8c45, 12, 12, 0
0x7b43b3bca2b0, 12, 0, 12
0x7b43b3bc0054, 12, 6, 6
0x7b43b3bc491b, 11, 7, 4
0x7b43b3bc4906, 11, 1, 10
0x7b43b3bbb0ac, 11, 11, 0
0x7b43b3bbb0cd, 11, 0x7b43b3bbd38f, 1, 0x7b43b3bbd37e, 1, 0x7b43b3bbd334, 1, 0x7b43b3bbd371, 1, 0x7b43b3bbd345, 1, 0x7b43b3bbd30e, 1, 0x7b43b3bbd31f, 1, 0x7b43b3bbd364, 1, 0x7b43b3bbd2e0, 1, 0x7b43b3bbd301, 1
0x7b43b3bbb0e0, 11, 8, 3
0x7b43b3bbb0a0, 11
0x7b43b3bca2f7, 11, 0x7b43b3bc0031, 9, 0x7b43b3bac471, 1, 0x7b43b3ba9b72, 1
0x7b43b3bbb0fa, 11, 4, 7
0x7b43b3bcb520, 11, 6, 5
0x7b43b3bc4190, 11, 10, 1
0x7b43b3bab3b5, 10, 3, 7
0x7b43b3bc9920, 10, 3, 7
0x4013c2, 10, 9, 1
0x4013b6, 10
0x7b43b3bcbb2a, 10, 3, 7
0x7b43b3bb9630, 10, 0, 10
0x401306, 10
0x7b43b3baf950, 10, 9, 1
0x4011f5, 10, 0x40132d, 10
0x7b43b3bcbb00, 10, 0, 10
0x4013aa, 10
0x4013b0, 10
0x4013bc, 10
0x7b43b3bb9858, 9, 1, 8
0x7b43b3bc4103, 9, 0, 9
0x7b43b3bc4107, 9, 0, 9
0x7b43b3bc410c, 9, 0x7b43b3bc4116, 4, 0x7b43b3bc4179, 2, 0x7b43b3bc43e4, 1, 0x7b43b3bc4418, 1, 0x7b43b3bc43c8, 1
0x7b43b3bc0024, 9
0x7b43b3baf1e4, 9, 0x7b43b3baf070, 9
0x7b43b3bc34cc, 9, 8, 1
0x7b43b3bc0031, 9, 3, 6
0x7b43b3baac00, 9, 1, 8
0x7b43b3bc00eb, 9, 0x7b43b3bbfdfc, 3, 0x7b43b3bbfbb6, 3, 0x7b43b3bbfae2, 3
0x7b43b3baf1c0, 9, 9, 0
0x7b43b3bc992d, 9, 0, 9
0x7b43b3bb984c, 9
0x7b43b3baf3d8, 9, 0x7b43b3bb8d88, 5, 0x7b43b3bac3a4, 4
0x7b43b3bc0088, 9, 9, 0
0x7b43b3bc9936, 9, 0x7b43b3bb6878, 2, 0x7b43b3bb7412, 1, 0x7b43b3ba6756, 1, 0x7b43b3ba5c7e, 1, 0x7b43b3ba5c6b, 1, 0x7b43b3bb9a96, 1, 0x7b43b3baf94e, 1, 0x7b43b3bb9a8e, 1
0x7b43b3bb96fd, 9, 0x7b43b3bb9858, 8, 0x7b43b3bb98e2, 1
0x7b43b3baace8, 9, 0, 9
0x7b43b3bb9820, 8, 0, 8
0x7b43b3bc8d00, 8, 0, 8
0x7b43b3baac09, 8, 1, 7
0x7b43b3ba73f0, 8, 2, 6
0x7b439f428720, 8, 0x7b43b3bb8c10, 8
0x7b43b3bc8d2c, 8, 0, 8
0x7b43b3bb7e60, 8, 0x7b43b3baf637, 3, 0x7b43b3bb7457, 1, 0x7b43b3bc4e53, 1, 0x7b43b3bb730b, 1, 0x7b43b3bc406f, 1, 0x7b43b3bab91a, 1
0x7b43b3bc8d34, 8, 0x7b43b3baaf79, 3, 0x7b43b3baf121, 2, 0x7b43b3baae18, 1, 0x7b43b3babc4a, 1, 0x7b43b3baf36d, 1
0x7b43b3bbb138, 8, 5, 3
0x7b43b3ba73f9, 8, 2, 6
0x7b43b3bc8d1f, 8
0x7b43b3bb2b70, 8, 0, 8
0x7b43b3bc8d0d, 8, 4, 4
0x7b43b3bb985c, 8, 5, 3
0x7b43b3bcb3e0, 8, 6, 2
0x7b43b3bab3c2, 7, 1, 6
0x7b43b3bb31b0, 7, 0, 7
0x7b43b3bbb114, 7, 4, 3
0x7b43b3bb2b09, 7, 0, 7
0x7b43b3bb31c1, 7, 0, 7
0x7b43b3bb4cd2, 7
0x7b43b3bb672a, 7
0x7b43b3bb6290, 7, 4, 3
0x7b43b3bb31ca, 7, 0, 7
0x7b43b3bb31d4, 7, 7, 0
0x7b43b3bb62da, 7, 4, 3
0x7b43b3bcbb3a, 7, 0x7b43b3bc0115, 3, 0x7b43b3bafa96, 1, 0x7b43b3baf705, 1, 0x7b43b3bac578, 1, 0x7b43b3bc1f0e, 1
0x7b43b3bb31ed, 7
0x7b43b3bb62df, 7, 0x7b43b3bb6735, 7
0x7b43b3bb8d88, 7, 5, 2
0x7b43b3bb8d7d, 7
0x7b43b3bb6735, 7, 5, 2
0x7b43b3baac12, 7, 3, 4
0x7b43b3bb671d, 7, 0, 7
0x7b43b3bb4cc7, 7, 0, 7
0x7b43b3bb62cd, 7, 4, 3
0x7b43b3ba7480, 6, 3, 3
0x7b43b3ba749b, 6
0x7b43b3bca620, 6, 0, 6
0x7b43b3bc0083, 6
0x7b43b3bca68a, 6, 6, 0
0x7b43b3bc0066, 6, 0, 6
0x7b43b3bab3ce, 6
0x7b43b3bc003d, 6, 6, 0
0x7b43b3bc9950, 6, 4, 2
0x7b43b3bc9b32, 6, 2, 4
0x7b43b3bb2684, 6, 3, 3
0x7b43b3bc9b10, 6, 0, 6
0x7b43b3ba73fe, 6, 0, 6
0x7b43b3ba7404, 6, 6, 0
0x7b43b3bca650, 6, 0, 6
0x7b43b3bc0005, 5, 0x7b43b3bbfdfc, 1, 0x7b43b3bbfd84, 1, 0x7b43b3bbfbb6, 1, 0x7b43b3bbfae2, 1, 0x7b43b3bbfa9a, 1
0x7b43b3badb30, 5, 5, 0
0x7b43b3bbb160, 5
0x7b43b3bb8f51, 5, 2, 3
0x7b43b3bac3a4, 5, 1, 4
0x7b43b3bb87c8, 5, 0, 5
0x7b43b3bb87a8, 5, 0, 5
0x7b43b3bc4179, 5, 5, 0
0x7b43b3bb8864, 5, 0, 5
0x7b43b3bb8802, 5, 0x7b43b3bbcca7, 1, 0x7b43b3bbcc71, 1, 0x7b43b3bbcc42, 1, 0x7b43b3bbcc05, 1, 0x7b43b3bbcbce, 1
0x7b43b3bcb550, 5, 0, 5
0x7b43b3bad4f0, 5, 5, 0
0x7b43b3bb8f9b, 5, 5, 0
0x7b43b3bb8f8c, 5, 0, 5
0x7b43b3bac399, 5
0x7b43b3bbc257, 5, 1, 4
0x7b43b3bb8e24, 5, 0, 5
0x7b43b3bb8770, 5, 0, 5
0x7b43b3bca580, 5, 4, 1
0x7b43b3bb8f70, 5
0x7b43b3bb8e34, 5, 0, 5
0x7b43b3bb9290, 5, 2, 3
0x7b43b3bad5bc, 5, 0, 5
0x7b43b3bb879b, 5, 0, 5
0x7b43b3bb8e45, 5, 0, 5
0x7b43b3bb8d70, 5, 0, 5
0x7b43b3bb6680, 5, 3, 2
0x7b43b3bcb020, 5, 5, 0
0x7b43b3bc9910, 5
0x7b43b3bb8e5c, 5, 0, 5
0x7b43b3bb8e52, 5, 0, 5
0x7b43b3bc9927, 5, 3, 2
0x7b43b3bb8844, 5, 5, 0
0x7b43b3bcb660, 5, 1, 4
0x7b43b3bc327d, 5, 0, 5
0x7b43b3bac37d, 5, 0, 5
0x7b43b3bb28d0, 5, 2, 3
0x7b43b3bb6710, 5, 0, 5
0x7b43b3bc328a, 5, 1, 4
0x7b43b3bb2924, 5, 0, 5
0x7b43b3bb293d, 5, 2, 3
0x7b43b3bb8869, 5, 5, 0
0x7b43b3bb8855, 5, 5, 0
0x7b43b3bc0508, 5, 4, 1
0x40130d, 5
0x401208, 5, 0x40132d, 5
0x7b43b3bb87d7, 5, 5, 0
0x7b43b3bb9880, 5, 5, 0
0x7b43b3bb8890, 5
0x7b43b3bcb58a, 5, 4, 1
0x7b43b3bb2914, 5, 0, 5
0x7b43b3bbb172, 5, 5, 0
0x7b43b3bc0456, 4, 0, 4
0x7b43b3bc046b, 4, 0, 4
