 allocated memory at: 0x61f000
after memory allocation
after identifying candidate routines
after chaining all branch targets
after setting initial estimated new ins addrs in tc
jump to orig addr: 0x4012f0 : 0x4043c5: call 0x4012f0
jump to orig addr: 0x4011c0 : 0x404411: call 0x4011c0
jump to orig addr: 0x4012c0 : 0x404598: call 0x4012c0
jump to orig addr: 0x4011f0 : 0x4045bf: call 0x4011f0
jump to orig addr: 0x4012c0 : 0x4045d8: call 0x4012c0
jump to orig addr: 0x4011c0 : 0x404631: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x40464d: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x404674: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x40469b: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x4046c2: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x4046e6: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x40470d: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x404731: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x404755: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x404779: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x40479b: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x4047bd: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x4047e4: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x404810: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x40483c: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x404863: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x40488a: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x4048b6: call 0x4011c0
jump to orig addr: 0x4012c0 : 0x4048d3: call 0x4012c0
jump to orig addr: 0x4010c0 : 0x4048ec: call 0x4010c0
jump to orig addr: 0x4011f0 : 0x404917: call 0x4011f0
jump to orig addr: 0x4012c0 : 0x404930: call 0x4012c0
jump to orig addr: 0x4011f0 : 0x4049c0: call 0x4011f0
jump to orig addr: 0x4012c0 : 0x4049ca: call 0x4012c0
jump to orig addr: 0x4011d0 : 0x404a18: call 0x4011d0
jump to orig addr: 0x4011d0 : 0x404a27: call 0x4011d0
jump to orig addr: 0x4011d0 : 0x404a36: call 0x4011d0
jump to orig addr: 0x4011c0 : 0x404a81: call 0x4011c0
jump to orig addr: 0x4011c0 : 0x404b27: call 0x4011c0
jump to orig addr: 0x4012c0 : 0x404b9f: call 0x4012c0
jump to orig addr: 0x4011c0 : 0x404bdf: call 0x4011c0
jump to orig addr: 0x4012d0 : 0x404c65: call 0x4012d0
jump to orig addr: 0x4012c0 : 0x404c7c: call 0x4012c0
jump to orig addr: 0x401080 : 0x404cad: call 0x401080
jump to orig addr: 0x401080 : 0x404cb9: call 0x401080
jump to orig addr: 0x4011e0 : 0x404cf0: call 0x4011e0
jump to orig addr: 0x401140 : 0x404cf8: call 0x401140
jump to orig addr: 0x4011e0 : 0x404d89: call 0x4011e0
jump to orig addr: 0x401140 : 0x404d91: call 0x401140
jump to orig addr: 0x4011e0 : 0x404e1d: call 0x4011e0
jump to orig addr: 0x401140 : 0x404e25: call 0x401140
jump to orig addr: 0x4011f0 : 0x404ed2: call 0x4011f0
jump to orig addr: 0x4012d0 : 0x404ef9: call 0x4012d0
jump to orig addr: 0x4012c0 : 0x404f03: call 0x4012c0
jump to orig addr: 0x401220 : 0x404f31: call 0x401220
jump to orig addr: 0x401080 : 0x404f5e: call 0x401080
jump to orig addr: 0x4011f0 : 0x407970: call 0x4011f0
jump to orig addr: 0x4011a0 : 0x407990: call 0x4011a0
jump to orig addr: 0x4011f0 : 0x407a5f: call 0x4011f0
jump to orig addr: 0x401180 : 0x407bcd: call 0x401180
jump to orig addr: 0x401240 : 0x407bee: call 0x401240
jump to orig addr: 0x4010f0 : 0x407ca7: call 0x4010f0
jump to orig addr: 0x401220 : 0x407ce5: call 0x401220
jump to orig addr: 0x401080 : 0x407e03: call 0x401080
jump to orig addr: 0x4010f0 : 0x407efe: call 0x4010f0
jump to orig addr: 0x4012d0 : 0x408044: call 0x4012d0
jump to orig addr: 0x4010f0 : 0x40805e: call 0x4010f0
jump to orig addr: 0x4010f0 : 0x4081cc: call 0x4010f0
jump to orig addr: 0x4012d0 : 0x408327: call 0x4012d0
jump to orig addr: 0x4010f0 : 0x408341: call 0x4010f0
jump to orig addr: 0x4010f0 : 0x408394: call 0x4010f0
jump to orig addr: 0x401230 : 0x4083a7: call 0x401230
jump to orig addr: 0x4010f0 : 0x4083b6: call 0x4010f0
jump to orig addr: 0x401080 : 0x408489: call 0x401080
jump to orig addr: 0x4010f0 : 0x408567: call 0x4010f0
jump to orig addr: 0x401220 : 0x4085a5: call 0x401220
jump to orig addr: 0x401080 : 0x4086fc: call 0x401080
jump to orig addr: 0x401080 : 0x40880e: call 0x401080
jump to orig addr: 0x4010f0 : 0x408942: call 0x4010f0
jump to orig addr: 0x401110 : 0x4089c0: call 0x401110
jump to orig addr: 0x4010f0 : 0x4089d2: call 0x4010f0
jump to orig addr: 0x401300 : 0x408fe0: call 0x401300
jump to orig addr: 0x401290 : 0x40911d: call 0x401290
jump to orig addr: 0x401260 : 0x40913a: call 0x401260
jump to orig addr: 0x401120 : 0x4091e9: call 0x401120
jump to orig addr: 0x401120 : 0x4093a9: call 0x401120
jump to orig addr: 0x4012d0 : 0x409c8e: call 0x4012d0
jump to orig addr: 0x4011f0 : 0x409fc6: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x40a38f: call 0x4011f0
jump to orig addr: 0x4012d0 : 0x40a3ce: call 0x4012d0
jump to orig addr: 0x4012d0 : 0x40b87e: call 0x4012d0
jump to orig addr: 0x4012d0 : 0x40bb54: call 0x4012d0
jump to orig addr: 0x4011f0 : 0x40c12c: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x40c66a: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x40c7ee: call 0x4011f0
jump to orig addr: 0x4012d0 : 0x40c819: call 0x4012d0
jump to orig addr: 0x4011f0 : 0x40cf60: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x40d193: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x410415: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x410443: call 0x4011f0
jump to orig addr: 0x4011a0 : 0x410463: call 0x4011a0
jump to orig addr: 0x4011f0 : 0x41091e: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x410a09: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x410b97: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x412158: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x412245: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x412468: call 0x4011f0
jump to orig addr: 0x4011f0 : 0x413710: call 0x4011f0
jump to orig addr: 0x4012d0 : 0x4166d8: call 0x4012d0
jump to orig addr: 0x401210 : 0x41861b: jmp 0x401210
jump to orig addr: 0x401160 : 0x41862b: jmp 0x401160
jump to orig addr: 0x418640 : 0x418635: call 0x418640
