 allocated memory at: 0x60217cd28000
after memory allocation
after identifying candidate routines
after chaining all branch targets
after setting initial estimated new ins addrs in tc
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b4d08: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b4d12: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b4d1c: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa650 : 0x60217c4b4d84: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa630 : 0x60217c4b4dae: call 0x60217c4aa630
jump to orig addr: 0x60217c4aa650 : 0x60217c4b4f4a: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa630 : 0x60217c4b4fab: call 0x60217c4aa630
jump to orig addr: 0x60217c4aa330 : 0x60217c4b4fc3: call 0x60217c4aa330
jump to orig addr: 0x60217c4aa650 : 0x60217c4b5039: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa650 : 0x60217c4b5188: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa650 : 0x60217c4b540e: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa630 : 0x60217c4b54b1: call 0x60217c4aa630
jump to orig addr: 0x60217c4aa630 : 0x60217c4b54f1: call 0x60217c4aa630
jump to orig addr: 0x60217c4aa650 : 0x60217c4b555c: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b5588: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b5594: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa470 : 0x60217c4b55de: call 0x60217c4aa470
jump to orig addr: 0x60217c4aa650 : 0x60217c4b57e5: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa330 : 0x60217c4b580a: jmp 0x60217c4aa330
jump to orig addr: 0x60217c4aa650 : 0x60217c4b58a3: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa650 : 0x60217c4b5bdf: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa630 : 0x60217c4b5bfb: call 0x60217c4aa630
jump to orig addr: 0x60217c4aa330 : 0x60217c4b5c15: call 0x60217c4aa330
jump to orig addr: 0x60217c4aa650 : 0x60217c4b5d00: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa630 : 0x60217c4b5d15: call 0x60217c4aa630
jump to orig addr: 0x60217c4aa330 : 0x60217c4b5d28: call 0x60217c4aa330
